,level_0,index,studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
64,6002,6002,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,180.0,850.88,,0.251,,,0.0596,,,,,,0.41100000000000003,,,,32.9,21.2,,0.723395778869459,1.3,,11.7,114.06,,,,,,,,,,,0.00015800000000000002,0.134624866,,420.0,,400.0,,,,,,
65,6003,6003,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,243.0,705.9,,0.324,,,0.0553,,,,,,0.495,,,,33.3,23.3,,0.793885114260184,1.3,,10.0,101.56,,,,,,,,,,,0.000154,0.145203901,,410.0,,380.0,,,,,,
66,6004,6004,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,67.0,44.08,,0.0196,,,0.000684,,,,,,0.0288,,,,9.48,1.1,,0.19149229459268802,1.3,,8.38,6.24,,,,,,,,,,,0.00015900000000000002,0.139318004,,390.0,,320.0,,,,,,
67,6005,6005,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,79.0,119.75,,0.067,,,0.0016300000000000002,,,,,,0.0917,,,,15.43,2.08,,0.341695868064298,1.3,,13.35,18.37,,,,,,,,,,,0.000154,0.152166771,,380.0,,350.0,,,,,,
68,6006,6006,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,69.0,41.53,,0.0188,,,0.000736,,,,,,0.0267,,,,12.66,1.87,,0.18437867513470396,1.3,,10.79,6.06,,,,,,,,,,,0.00014199999999999998,0.138939691,,340.0,,310.0,,,,,,
69,6007,6007,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,71.0,51.26,,0.0267,,,0.000175,,,,,,0.0374,,,,9.71,0.75,,0.218218145380019,1.3,,8.96,7.48,,,,,,,,,,,0.000151,0.146649164,,330.0,,360.0,,,,,,
70,6008,6008,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,75.0,84.99,,0.0465,,,0.0010199999999999999,,,,,,0.0661,,,,13.21,1.86,,0.290105384139961,1.3,,11.35,11.84,,,,,,,,,,,0.000149,0.142991728,,370.0,,330.0,,,,,,
71,6009,6009,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,72.0,118.82,,0.0464,,,0.000638,,,,,,0.0637,,,,13.9,1.7,,0.284790026158975,1.3,,12.2,16.72,,,,,,,,,,,0.000147,0.144322877,,360.0,,320.0,,,,,,
72,6010,6010,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",42.23,-120.07,TempF,620.0,8.1,,1.7,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,47.0,71.45,,0.0242,,,7.85e-07,,,,,,0.0321,,,,6.8,3.6,,0.20216574731145398,1.3,,3.2,9.06,,,,,,,,,,,0.00013700000000000002,0.127085808,,370.0,,360.0,,,,,,
73,6011,6011,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",42.23,-120.07,TempF,620.0,8.1,,1.7,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,40.0,51.21,,0.0122,,,7.07e-06,,,,,,0.0177,,,,4.9,2.5,,0.150121084268041,1.3,,2.4,6.63,,,,,,,,,,,0.000136,0.128605939,,360.0,,350.0,,,,,,
